  22 wind speed [m/s]          pitch [deg]     rot. speed [rpm] 
10.8	0	7.64764163491587
10.81	0	7.65472278457783
10.82	0	7.66180393423979
10.83	0	7.66888508390174
10.84	0	7.6759662335637
10.85	0	7.68304738322566
10.86	0	7.69012853288762
10.87	0	7.69720968254958
10.88	0	7.70429083221154
10.89	0	7.7113719818735
10.9	0	7.71845313153546
10.91	0	7.72553428119742
10.92	0	7.73261543085938
10.93	0	7.73969658052134
10.94	0	7.74677773018329
10.95	0	7.75385887984525
10.96	0	7.76094002950721
10.97	0	7.76802117916917
10.98	0	7.77510232883113
10.99	0	7.78218347849309
11	0	7.78926462815505
