radial	chord	t_c	rigid	semicolon
41	4.7686746288147	39.2401815068443	1	;
41.5	4.70113961877837	39.048551144878	1	;
42	4.63558401662652	38.8545305751258	1	;
42.5	4.57196423039634	38.6583183517327	1	;
43	4.51023512271668	38.4601220667536	1	;
43.5	4.45035011726232	38.2601577249524	1	;
44	4.39226131479731	38.0586489651411	1	;
44.5	4.33591961945489	37.8558261236562	1	;
45	4.28126827812897	37.6519831612114	1	;
45.5	4.2282703127196	37.4472368070633	1	;
46	4.17686634461097	37.2418962941147	1	;
46.5	4.12700392407134	37.0362066630837	1	;
47	4.07863024674028	36.8304122175198	1	;
47.5	4.03169228165662	36.6247552546545	1	;
48	3.98613696109178	36.4194742246886	1	;
48.5	3.94191137458879	36.2148018342567	1	;
49	3.898962962782	36.0109631434891	1	;
49.5	3.85723971080512	35.8081736676391	1	;
50	3.81669033564394	35.606637543943	1	;
50.5	3.77726446725682	35.4065457737664	1	;
51	3.73891281822019	35.2080745961906	1	;
51.5	3.70158734078721	35.0113840101725	1	;
52	3.66524136820546	34.8166164803644	1	;
52.5	3.62982973815619	34.6238958512443	1	;
53	3.59530730045472	34.4333417759188	1	;
53.5	3.5616281975867	34.2450771166904	1	;
54	3.52875874632849	34.0591042695853	1	;
54.5	3.49666067473022	33.8754659244765	1	;
55	3.46529741031258	33.6941854134079	1	;
55.5	3.43463420808303	33.5152658320992	1	;
56	3.40463813749854	33.3386905510252	1	;
56.5	3.37527805012584	33.1644239479821	1	;
57	3.34652452635793	32.9924123762988	1	;
57.5	3.31834981628218	32.8225852178659	1	;
58	3.29072776568373	32.6548561057464	1	;
58.5	3.26363373245887	32.4891242615898	1	;
59	3.23704449538579	32.3252759252899	1	;
59.5	3.2109381609864	32.1631858162918	1	;
60	3.18529405903171	32.0027187174462	1	;
60.5	3.16009264469245	31.8437309983123	1	;
61	3.13531539269776	31.6860722206303	1	;
61.5	3.11094469301384	31.5295867276616	1	;
62	3.08696374890409	31.3741152049367	1	;
62.5	3.06335647536111	31.2194962292009	1	;
63	3.04010739868042	31.0655677944796	1	;
63.5	3.01720156066419	30.9121687762531	1	;
64	2.99462442429172	30.7591403623285	1	;
64.5	2.97236178383993	30.6063274164218	1	;
65	2.9503996761629	30.453579804638	1	;
65.5	2.9287242980785	30.3007536304626	1	;
66	2.90732192568444	30.1477124175888	1	;
66.5	2.88617883891681	29.9943282028965	1	;
67	2.86528124673329	29.840482583974	1	;
67.5	2.84461522052479	29.6860676389175	1	;
68	2.82416662771523	29.5309867985746	1	;
68.5	2.80392106923019	29.3751556301082	1	;
69	2.78386382426985	29.2185024929079	1	;
69.5	2.76397979424412	29.0609691493333	1	;
70	2.74425345404916	28.9025112423721	1	;
70.5	2.72466880279108	28.7430987209475	1	;
71	2.70520932288627	28.5827161172941	1	;
71.5	2.68585793656221	28.4213627905964	1	;
72	2.66659696929643	28.2590530354869	1	;
72.5	2.64740811281901	28.0958161326244	1	;
73	2.62827239047788	27.9316963117533	1	;
73.5	2.60917012230603	27.7667526557379	1	;
74	2.59008089060974	27.6010589376945	1	;
74.5	2.57098350448639	27.434703409291	1	;
75	2.55185596028626	27.2677885737283	1	;
75.5	2.53267540030351	27.1004309212477	1	;
76	2.51341806422546	26.9327606882286	1	;
76.5	2.49405923527523	26.7649216225925	1	;
77	2.47457317698152	26.5970708030597	1	;
77.5	2.45493305952494	26.4293785285404	1	;
78	2.43511087483943	26.2620282925507	1	;
78.5	2.41507733598813	26.0952168984215	1	;
79	2.39480176103868	25.9291547223818	1	;
79.5	2.37425193811018	25.7640661722773	1	;
80	2.35339396927417	25.6001903821456	1	;
80.5	2.33219209006705	25.4377821971061	1	;
81	2.3106084628459	25.2771134925928	1	;
81.5	2.28860293962041	25.1184749073939	1	;
82	2.26613279107233	24.9621780677572	1	;
82.5	2.24315239696904	24.8085584087326	1	;
83	2.21961289296121	24.6579787176992	1	;
83.5	2.19546176681672	24.5108335682485	1	;
84	2.17064239644956	24.3675548494352	1	;
84.5	2.1450948721987	24.228603384961	1	;
85	2.11874688569702	24.0945736891559	1	;
85.5	2.09205327749124	23.9600186561266	1	;
86	2.06578396958921	23.8156712646221	1	;
86.5	2.03839640713429	23.6788153346778	1	;
87	2.00976444439572	23.5506355474855	1	;
87.5	1.97975065352052	23.4324802778028	1	;
88	1.94820305255099	23.3259222109528	1	;
88.5	1.91495257336075	23.2328200911238	1	;
89	1.87981023313353	23.1553973323388	1	;
89.5	1.84256366469614	23.0963473278106	1	;
90	1.8029727319496	23.0589775412797	1	;
90.5	1.76076388138253	23.0474102494866	1	;
91	1.71551828772065	23.0682720181445	1	;
91.5	1.66705149181396	23.1259261344338	1	;
92	1.6148509049072	23.2303452660786	1	;
92.5	1.5584019493433	23.3935236096704	1	;
